,Layer,Mult,Pos,Average,Matching,Not Matching
330,30,-0.5,-10,0.5841262,0.35820323,0.29381087
331,30,-0.1,-10,0.5834297,0.37949565,0.30503106
332,30,0.0,-10,0.5831409,0.38425878,0.307647
333,30,0.1,-10,0.58281994,0.38882497,0.31019866
334,30,0.5,-10,0.5813324,0.4054229,0.31984267
335,30,1.0,-10,0.57940614,0.42352763,0.33084697
336,32,-1.0,-3,0.5513223,0.18514417,0.20119274
337,32,-0.5,-3,0.57198423,0.28054202,0.26385432
338,32,-0.1,-3,0.5820971,0.36614886,0.30012408
339,32,0.0,-3,0.5831409,0.38425878,0.307647
340,32,0.1,-3,0.5837846,0.40056393,0.31465766
341,32,0.5,-3,0.5845554,0.45025048,0.33789194
342,32,1.0,-3,0.58362556,0.4883255,0.35877353
343,32,-1.0,-5,0.56748974,0.2381205,0.24078289
344,32,-0.5,-5,0.57808775,0.31566632,0.2790856
345,32,-0.1,-5,0.5825914,0.37212723,0.30253842
346,32,0.0,-5,0.5831409,0.38425878,0.307647
347,32,0.1,-5,0.5835122,0.39552754,0.31250477
348,32,0.5,-5,0.5837709,0.43265778,0.32971847
349,32,1.0,-5,0.58241034,0.46481922,0.34725407
350,32,-1.0,-10,0.57735366,0.3208215,0.28133756
351,32,-0.5,-10,0.5809257,0.35471892,0.2954789
352,32,-0.1,-10,0.58279264,0.37873757,0.30534783
353,32,0.0,-10,0.5831409,0.38425878,0.307647
354,32,0.1,-10,0.58344877,0.38958672,0.30988503
355,32,0.5,-10,0.5843281,0.4090305,0.31827813
356,32,1.0,-10,0.5847923,0.42951187,0.3277119
357,34,-1.0,-3,0.56121695,0.21967216,0.23214895
358,34,-0.5,-3,0.5815492,0.32076073,0.28013575
359,34,-0.1,-3,0.5841741,0.3753612,0.30305877
360,34,0.0,-3,0.5831409,0.38425878,0.307647
361,34,0.1,-3,0.58182013,0.39174014,0.3119246
362,34,0.5,-3,0.5756425,0.41294873,0.32677954
363,34,1.0,-3,0.56696165,0.43064812,0.34378406
364,34,-1.0,-5,0.5786003,0.2953183,0.26787448
365,34,-0.5,-5,0.5848553,0.3508362,0.29158276
366,34,-0.1,-5,0.5839437,0.37908477,0.30477008
367,34,0.0,-5,0.5831409,0.38425878,0.307647
368,34,0.1,-5,0.5821919,0.3888446,0.31040877
369,34,0.5,-5,0.57741934,0.40284404,0.32068443
370,34,1.0,-5,0.56994176,0.41469616,0.33314797
371,34,-1.0,-10,0.5854321,0.35744405,0.2934351
372,34,-0.5,-10,0.5848163,0.37300918,0.30111533
373,34,-0.1,-10,0.5835379,0.3823024,0.30641484
374,34,0.0,-10,0.5831409,0.38425878,0.307647
375,34,0.1,-10,0.58271945,0.3860866,0.30884767
376,34,0.5,-10,0.58081377,0.39229012,0.31339008
377,34,1.0,-10,0.5779882,0.3981518,0.31871507
378,36,-1.0,-3,0.56842065,0.26968676,0.2560414
379,36,-0.5,-3,0.5854614,0.3450861,0.28761062
380,36,-0.1,-3,0.5851068,0.37911224,0.30379012
381,36,0.0,-3,0.5831409,0.38425878,0.307647
382,36,0.1,-3,0.58072114,0.38850078,0.31150714
383,36,0.5,-3,0.56905603,0.40017307,0.32682297
384,36,1.0,-3,0.55540615,0.4100257,0.34444508
385,36,-1.0,-5,0.5808697,0.32270318,0.2803046
386,36,-0.5,-5,0.5866595,0.36209133,0.2951441
387,36,-0.1,-5,0.5844848,0.38091016,0.30510658
388,36,0.0,-5,0.5831409,0.38425878,0.307647
389,36,0.1,-5,0.58155274,0.3871988,0.3102322
390,36,0.5,-5,0.57350385,0.39606065,0.3210496
391,36,1.0,-5,0.5619223,0.40379712,0.33535695
392,36,-1.0,-10,0.5879837,0.3666329,0.29618493
393,36,-0.5,-10,0.5864179,0.37693444,0.30181658
394,36,-0.1,-10,0.58390886,0.38298827,0.30645582
395,36,0.0,-10,0.5831409,0.38425878,0.307647
